,0
0,"@bakaismy tweeted: RT @BrunoFabil: ""ah mas só pq a mulher fez ngm gostou de crepusculo"" MEU IRMÃO, eu não gostei pq tem um VAMPIRO que brilha e um CACHORRO pe…,"
1,"@tiokobas tweeted: @lsentoes @tuliogadelha Pensei que era cosplay do Harry Potter,  ou cover do Sandy &amp; Junior,"
2,"@BaeyChlxe tweeted: RT @SrElfoDobby: eu obrigando meus amigos a assistir Harry Potter https://t.co/FHXrYBKtLG,"
3,"@shawnshypink tweeted: ainda refletindo algumas mortes em harry potter,"
4,"@strangerpatrono tweeted: @marieserpents amei sua pack e seu fc. vi que cê gosta de harry potter então vamos se abraçar forte 💜,"
5,"@LeonardoAlle tweeted: RT @BrunoFabil: ""ah mas só pq a mulher fez ngm gostou de crepusculo"" MEU IRMÃO, eu não gostei pq tem um VAMPIRO que brilha e um CACHORRO pe…,"
6,"@WendryusF tweeted: RT @Hogwarts_Existe: Quem também queria passar o ano novo no parque do Harry Potter mais não tem nem 2 reais no bolso, me add,"
7,"@itsokokmendes tweeted: quero harry potter agoraaaa,"
8,"@PedroCobra1 tweeted: Ontem revi o ""Harry Potter and the half-blood prince"" e já me tinha esquecido o quão random é o relacionamento do H… https://t.co/kZSdEuMEgh,"
9,"@TamirisCintia tweeted: RT @BrunoFabil: ""ah mas só pq a mulher fez ngm gostou de crepusculo"" MEU IRMÃO, eu não gostei pq tem um VAMPIRO que brilha e um CACHORRO pe…,"
10,"@LiefWill tweeted: RT @BrunoFabil: ""ah mas só pq a mulher fez ngm gostou de crepusculo"" MEU IRMÃO, eu não gostei pq tem um VAMPIRO que brilha e um CACHORRO pe…,"
11,"@exoskywalker tweeted: harry potter ou jogos vorazes? — harry potter https://t.co/TaQcQ2MfDv,"
12,"@Natyyrds tweeted: Pra mim bird box fez parceria com Harry Potter e pediu o bixho papão do armário pra fazer parte do filme, pronto acabou,"
13,"@ssilasdiass tweeted: RT @BrunoFabil: ""ah mas só pq a mulher fez ngm gostou de crepusculo"" MEU IRMÃO, eu não gostei pq tem um VAMPIRO que brilha e um CACHORRO pe…,"
14,"@SoulBlack2012 tweeted: Gostei de um vídeo @YouTube https://t.co/OFw6M8SPpZ from 2018 (Harry Potter, Beauty...)! By Cate Barbosa,"
15,"@sophietuner tweeted: chegou meu box de harry potter 🤩🤩🤩🤩🤩🤩🤩,"
16,"@manonelzu1 tweeted: RT @BrunoFabil: ""ah mas só pq a mulher fez ngm gostou de crepusculo"" MEU IRMÃO, eu não gostei pq tem um VAMPIRO que brilha e um CACHORRO pe…,"
17,"@vitt_samuel tweeted: RT @BrunoFabil: ""ah mas só pq a mulher fez ngm gostou de crepusculo"" MEU IRMÃO, eu não gostei pq tem um VAMPIRO que brilha e um CACHORRO pe…,"
18,"@Amiltoncjv tweeted: RT @fernanda172: Além de namorado da Fátima esse aprendiz de Harry Potter já começou mal, recebendo grana de empresa da lava-jato! https://…,"
19,"@carlosandre775 tweeted: Gostei de um vídeo @YouTube https://t.co/CcsmoQgjMi HARRY POTTER - GARTIC,"
20,"@frgetunot tweeted: RT @leonardoasanti: É incrível como Harry Potter é perfeito do começo ao fim, se liga que maravilhosa é a dedicatória de Relíquias da morte…,"
21,"@Izabeli_Araujo tweeted: RT @vireipo: *SORTEIO DE VOLTA AO LAR III*
HARRY POTTER e STAR WARS
Concorra a uma camisa de HP ou SW, a escolha fica a critério do vencedo…,"
22,"@dricdriks tweeted: Harry Potter e o caso das meias que somem na máquina de lavar.,"
23,"@bella_bjj tweeted: RT @BrunoFabil: ""ah mas só pq a mulher fez ngm gostou de crepusculo"" MEU IRMÃO, eu não gostei pq tem um VAMPIRO que brilha e um CACHORRO pe…,"
24,"@antoninoserra tweeted: @beargolo Seguida da maratona de Star Wars
Seguida de Harry Potter
Seguida de Indiana Johns
E ai vc esta em Reveillon,"
25,"@Guilisboa_02 tweeted: Gostei de um vídeo @YouTube https://t.co/znTe3Av8M8, MATA OU FICA VERSÃO HARRY POTTER (Feat. Namorada),"
26,"@psichow tweeted: RT @gunogueira12: parece muito uma cena de Harry Potter https://t.co/JyZ5dvVDVg,"
27,"@mello_de_mel tweeted: RT @oreripoti: explicando harry potter:

voldemort simboliza a depressão que ele teve quando bebê, dursleys sao os parentes toxicos, hogwar…,"
28,"@SZV03 tweeted: RT @BrunoFabil: ""ah mas só pq a mulher fez ngm gostou de crepusculo"" MEU IRMÃO, eu não gostei pq tem um VAMPIRO que brilha e um CACHORRO pe…,"
29,"@VidaHumanas tweeted: ""Você vai encontrar muitos inimigos em seu caminho, mas também vai encontrar amigos, poucos, mas verdadeiros."" — Harry Potter,"
30,"@OsPleura tweeted: Gostei de um vídeo @YouTube https://t.co/D9FgFfWqkW OS JOGOS da franquia Harry Potter,"
31,"@RIO450CAOS tweeted: RT @fernanda172: Além de namorado da Fátima esse aprendiz de Harry Potter já começou mal, recebendo grana de empresa da lava-jato! https://…,"
32,"@Jordany_Egydio tweeted: Queria que a Netflix me desse um presente de natal atrasado.. Disponibilizar a saga de Harry Potter,"
33,"@assucemo tweeted: RT @oreripoti: explicando harry potter:

voldemort simboliza a depressão que ele teve quando bebê, dursleys sao os parentes toxicos, hogwar…,"
34,"@ray_oxx tweeted: queria tanto que tivesse harry potter na netflix, queria maratonar mas n acho um site bom,"
35,"@viturodrigues11 tweeted: RT @BrunoFabil: ""ah mas só pq a mulher fez ngm gostou de crepusculo"" MEU IRMÃO, eu não gostei pq tem um VAMPIRO que brilha e um CACHORRO pe…,"
36,"@JooPedr06294129 tweeted: Mas agora eu to me perguntando, então @NetflixBrasil quando vai ter todos 7 filmes de Harry Potter no catalogo?? (T_T),"
37,"@seasickboy tweeted: ta beleza que vcs gostam de harry potter agora vamo admitir que defeito  tem de monte né https://t.co/jtipPAA5Ra,"
38,"@mistupida tweeted: RT @sameissue: eu sou o único que nunca assisti harry potter e nem star wars? https://t.co/naDvSld9iJ,"
39,"@alice_raym tweeted: Acabo de comprar um varinha daquelas do Harry Potter e uma caneca de greys pra minha irmã meu karma tem q vir arregaçado de bom,"
40,"@anabiaav tweeted: RT @BrunoFabil: ""ah mas só pq a mulher fez ngm gostou de crepusculo"" MEU IRMÃO, eu não gostei pq tem um VAMPIRO que brilha e um CACHORRO pe…,"
41,"@francisantin tweeted: Nas sextas usamos Harry Potter https://t.co/tqsxG9gZT2,"
42,"@_Um_pudim_ tweeted: RT @leonardoasanti: É incrível como Harry Potter é perfeito do começo ao fim, se liga que maravilhosa é a dedicatória de Relíquias da morte…,"
43,"@DuZanco13 tweeted: RT @MorumbiStation: O Hogwarts Express é um trem que liga as áreas dedicadas ao Harry Potter dos parques Universal e Islands of Adventure,…,"
44,"@Marcus3all tweeted: RT @BrunoFabil: ""ah mas só pq a mulher fez ngm gostou de crepusculo"" MEU IRMÃO, eu não gostei pq tem um VAMPIRO que brilha e um CACHORRO pe…,"
45,"@judjuba tweeted: Harry Potter me ensinou que ninguém deve viver dentro de um armário 🏳‍🌈,"
46,"@WYCKERTL tweeted: RT @MorumbiStation: O Hogwarts Express é um trem que liga as áreas dedicadas ao Harry Potter dos parques Universal e Islands of Adventure,…,"
47,"@xiuEsther tweeted: @sameissue Harry Potter era uma das metas coisas p fazer antes do ano acabar do ano passado e star wars nem tenho interesse em ver,"
48,"@o_planta tweeted: RT @sameissue: eu sou o único que nunca assisti harry potter e nem star wars? https://t.co/naDvSld9iJ,"
49,"@Elou_ai tweeted: RT @oreripoti: explicando harry potter:

voldemort simboliza a depressão que ele teve quando bebê, dursleys sao os parentes toxicos, hogwar…,"
50,"@JEHFRANCYS tweeted: @FoxSportsBrasil @SaoPauloFC Vou deixar vcs mais ainda sismados
O parque do Harry Potter Fica em Orlando.
A Florida… https://t.co/NI4cNEXHla,"
51,"@Goyaragao tweeted: to triste pq to terminando Harry Potter,"
52,"@hugojsanches tweeted: RT @SrElfoDobby: eu obrigando meus amigos a assistir Harry Potter https://t.co/FHXrYBKtLG,"
53,"@mike_caldeira tweeted: Harry Potter da cabeça aos pés!
#HarryPotter #Potterhead #Havaianas #Nerd #Geek https://t.co/r0XFE9uSmk,"
54,"@mike_caldeira tweeted: Harry Potter da cabeça aos pés!
#HarryPotter #Potterhead #Havaianas #Nerd #Geek https://t.co/r0XFE9MtKU,"
55,"@leidezinha_ofc tweeted: RT @wolfhwxrd: se vc é fã de

stranger things
riverdale
caos
teen wolf
himym
friends
camila cabello
ariana grande 
billie eilish
oned
shawn…,"
56,"@lovebeauany tweeted: RT @sameissue: eu sou o único que nunca assisti harry potter e nem star wars? https://t.co/naDvSld9iJ,"
57,"@21Palavras_ tweeted: Na verdade ele deveria agradecer aos caras,porque todo mundo que foi relevante nos 21 anos de duração do suplemento… https://t.co/VVTneYA4QA,"
58,"@_Eu_Maria tweeted: Part 3 da briga de Harry Potter e Voldemort https://t.co/Wl5HQsMD5x,"
59,"@F4rofaHarmony tweeted: RT @ihqjustin: seria eu a única menina que nunca teve interesse em ver harry potter,"
60,"@giolopessa tweeted: RT @maryanegouvea: Eu só queria passar o dia assistindo Harry Potter,"
61,"@_stalkiane tweeted: RT @irisfigueiredo: Você pode não concordar com a interpretação de que o FILME (uma obra distinta do livro, ainda que se baseie nele) fale…,"
62,"@kwrinex tweeted: RT @oreripoti: explicando harry potter:

voldemort simboliza a depressão que ele teve quando bebê, dursleys sao os parentes toxicos, hogwar…,"
63,"@JVFM_666 tweeted: RT @Hogwarts_Existe: Quem também queria passar o ano novo no parque do Harry Potter mais não tem nem 2 reais no bolso, me add,"
64,"@mike_caldeira tweeted: Harry Potter da cabeça aos pés!
#HarryPotter #Potterheads #Havaianas #Nerd #Geek em São Francisco, Minas Gerais, Br… https://t.co/iqISPV4Wkc,"
65,"@mdq444 tweeted: RT @maryanegouvea: Eu só queria passar o dia assistindo Harry Potter,"
66,"@kccyoko tweeted: RT @sameissue: eu sou o único que nunca assisti harry potter e nem star wars? https://t.co/naDvSld9iJ,"
67,"@gperes_1 tweeted: RT @BrunoFabil: ""ah mas só pq a mulher fez ngm gostou de crepusculo"" MEU IRMÃO, eu não gostei pq tem um VAMPIRO que brilha e um CACHORRO pe…,"
68,"@omundoirreal tweeted: RT @dinhohalves1: #Réveillon1964VemAíEEu vou ficar só o Harry Potter https://t.co/1KqCeYIEsc,"
69,"@Ramiiranda tweeted: RT @maricvlima: Chegando 2019 e Netflix ate hoje não comprou a franquia Harry Potter pra gente fazer maratona,"
70,"@edusilva_sccp tweeted: harry potter e o enigma do pq sua boca ta tão longe da minha kkk😔,"
71,"@larasky03 tweeted: RT @BrunoFabil: ""ah mas só pq a mulher fez ngm gostou de crepusculo"" MEU IRMÃO, eu não gostei pq tem um VAMPIRO que brilha e um CACHORRO pe…,"
72,"@fl_cmg_bb tweeted: RT @BrunoFabil: ""ah mas só pq a mulher fez ngm gostou de crepusculo"" MEU IRMÃO, eu não gostei pq tem um VAMPIRO que brilha e um CACHORRO pe…,"
73,"@RuivaCobra tweeted: RT @Hogwarts_Existe: Quem também queria passar o ano novo no parque do Harry Potter mais não tem nem 2 reais no bolso, me add,"
74,"@el_pspspsps tweeted: @fortebll sei lá tem tudo pra ser minha cara mas o Harry Potter e alguns outros personagens cagam,"
75,"@stopmaris tweeted: Parabéns Maggie ❤️ Obrigado por todos os anos incríveis de Harry Potter e obrigado por ser tão maravilhosa, o mundo… https://t.co/JTF0XaVRRX,"
76,"@ninhapecego tweeted: ⚠️_INDICAÇÃO &gt; 📚 Série Harry Potter, composta por:

° HP e a Pedra Filosofal;
° HP e a Câmara Secreta;
° HP e o Pri… https://t.co/kmzV1F2kaq,"
77,"@Gust_dub tweeted: @micaeladrnls @michely_volpato KKKKKKKKKKK para:( minha fanfic ainda vai ser o harry potter 2.0,"
78,"@tarikchrist_ tweeted: RT @BrunoFabil: ""ah mas só pq a mulher fez ngm gostou de crepusculo"" MEU IRMÃO, eu não gostei pq tem um VAMPIRO que brilha e um CACHORRO pe…,"
